course,pair,n1,n2,mean1,mean2,p_value,cliffs_delta
FFF-2014J,Withdrawn vs Fail,618,386,562.3,1208.5,1.482476675867934e-19,-0.339
FFF-2014J,Distinction vs Withdrawn,258,618,5267.6,562.3,1.71726988167023e-116,0.982
GGG-2013J,Distinction vs Fail,141,258,945.3,249.5,8.16362034398591e-42,0.82
GGG-2013J,Withdrawn vs Fail,45,258,185.0,249.5,0.3069996837239467,-0.096
GGG-2013J,Distinction vs Withdrawn,141,45,945.3,185.0,1.5932862327583667e-19,0.896
GGG-2014B,Distinction vs Fail,128,229,823.1,213.8,7.122392922584146e-38,0.821
GGG-2014B,Withdrawn vs Fail,66,229,148.2,213.8,0.06326909479743133,-0.15
GGG-2014B,Distinction vs Withdrawn,128,66,823.1,148.2,7.831145777463526e-25,0.903
GGG-2014J,Distinction vs Fail,127,161,869.4,290.2,3.701717141987914e-27,0.741
GGG-2014J,Withdrawn vs Fail,93,161,112.3,290.2,1.6075695135027052e-05,-0.325
GGG-2014J,Distinction vs Withdrawn,127,93,869.4,112.3,1.0908534154356409e-33,0.955
